Component,Quantity,Total Price (œ),Link
CPico RP2040,1,6.5,https://thepihut.com/products/cpico-rp2040?variant=54040618369409
Gazzew Black Boba U4,9,58.5,https://www.mechmods.co.uk/collections/keyboard-switches/products/gazzew-black-boba-u4?variant=43956181401823
Durock V3 Stabilisers,1 set,15,https://www.mechmods.co.uk/collections/keyboard-stabilisers/products/durock-screw-in-stabilisers-v3?variant=45984793821407
"20-pin 0.1"" Female Header - White - 5 pack",1,2.2,https://thepihut.com/products/20-pin-0-1-female-header-white-5-pack?variant=19932895346750
Short Plug Headers for Raspberry Pi Pico - 2 x 20 Pin Male,1,1,https://thepihut.com/products/short-plug-headers-for-raspberry-pi-pico-2-x-20-pin-male
TH Diode 1N4148TR,85,2.55,https://mechboards.co.uk/products/kit-components-and-parts?variant=55527711277436
128ž32 I2C OLED graphic display,1,4,https://mechboards.co.uk/products/oled-screen?_pos=3&_sid=27145306e&_ss=r
8mm M2 Screws,24,0.72,https://mechboards.co.uk/products/kit-components-and-parts?variant=55527712784764
12mm M2 Brass Standoff,12,0.36,https://mechboards.co.uk/products/kit-components-and-parts?variant=55527713014140
PEC11-4215F-S24 Rotary Encoder,2,8.8,https://thepihut.com/products/rotary-encoder-extras
Solid Core Wire,-,-,-
Solder ,-,-,-
"3D Printed Plate, Keycaps, Case",-,-,-
Milled Aluminium Case*,-,-,-
